key,value,accept
q253q,6587,true
qm52p,3519,false
mb86a,4382,true
yk04g,3649,false
x9t7e,498,true
17f8a,5385,false
0yi1k,4095,false
m70tn,3834,true
7tnw8,7532,false
52nyv,9931,false
bzx7u,4909,false
7526e,5918,false
7sqxd,3943,true
0ng02,5442,false
jc9n7,654,false
7zhlc,9223,false
97i2u,1688,true
irx0b,5953,false
3fegq,6180,false
zdr7k,2705,true
iyxe9,7200,true
t9yav,6864,false
0oeiy,5148,false
86qzu,6471,false
e2pdl,3950,false
lfp1j,4923,false
omn5x,3164,true
rklwv,4079,false
jrz9x,7976,false
ybmpi,2169,true
lepp0,5790,true
k6eyu,9561,true
awel3,810,true
lc118,6544,true
k2b9s,4674,false
gp3ok,2297,false
4x6m8,9996,false
0eve6,3848,true
v47ix,3122,false
8u00z,3446,false
ki0k6,360,true
4su6z,2976,true
6ozym,7717,false
l5idv,5194,false
6chbf,2304,false
hwpls,7736,false
hm3n8,4207,false
cf8ag,7170,true
d6xj9,8446,true
mt4o1,9917,false
s4xq2,994,true
0uo2k,1858,true
94h61,4435,true
4i6sn,2392,false
41suw,174,true
2tdxe,5309,false
7w867,1458,false
g1ncf,7616,false
cvqye,2513,false
vh107,3930,false
dt6d2,1834,false
uok8v,7109,true
f5l98,9271,true
7qj5e,1770,false
l39aa,2899,false
18hma,3714,true
ubwgi,7810,true
1po1k,9525,false
mg3br,1190,false
q75fe,1318,true
y69x5,6511,false
e8wz7,4964,true
tza2z,8402,false
uiq8a,6161,false
t2dzv,5247,false
gcjw8,19,false
j3jz8,1655,true
mckpv,3538,true
clwqu,6670,false
vp840,7626,false
xzs9m,9205,false
dkj9r,6166,false
pfl8a,2295,true
1ys6m,1343,false
3jmfv,3902,false
gf2fg,7766,true
czqko,1627,true
1cccu,5495,true
0r395,9630,false
ecxud,7052,false
69jtl,6091,false
dfhee,5370,true
zdnhg,411,false
s3s2h,9056,false
c4ol2,4417,true
69x30,5874,true
6ppsa,6452,false
59oh6,5049,false
25hi9,2734,true
ba3ok,8420,false
yqleh,8771,false
4fjya,5876,false
kz9y7,1900,true
otksu,4097,false
ydh02,2258,false
3njwh,5643,true
0pisz,3383,false
rf2il,5629,true
jjp66,5364,true
gl3sz,4015,true
dr5n6,7976,true
oraht,8346,true
qk0pq,2403,true
8vbkf,8047,true
10lyq,3109,true
5eexl,4238,false
58pi3,6999,false
766yv,6249,false
b9dcm,4730,true
62pxv,94,false
8hwyr,6733,true
xadac,3797,true
771mu,1266,true
37368,9759,false
owa1o,1136,true
t8ion,9336,false
cy32e,781,true
ilcto,9037,true
pxmha,5731,true
tw1rv,1613,true
c9s3s,4415,false
cy4iq,1926,true
73tr1,624,true
nzwgs,4968,false
f9jv7,6124,true
a26i8,941,false
8xo6h,6671,true
9xgjd,3691,true
x5bh5,2430,true
7dop9,4721,false
c5qug,413,true
zhp13,2505,true
4aij6,4678,false
aa1ev,2656,true
r07hd,362,true
9enwd,4596,false
fdtml,7508,false
6vplu,1273,true
7le03,5030,false
dycir,1460,false
13tjo,4647,true
0o1sa,5984,false
w0u4d,2943,false
u2v30,301,false
1bptu,4893,false
xhn5p,8733,false
hmkjr,2818,false
rf1vl,9740,false
orp6v,6773,true
78wim,9963,true
tdrda,540,false
tnshw,3722,false
gyd69,2747,false
vzux5,3605,false
bphf3,3588,true
nojge,6507,true
30kob,3790,false
74mww,1452,false
wx4rz,6881,true
rpcqm,5408,false
xlcpf,850,false
ayvg7,376,false
qkvc1,9445,false
cy7ae,6372,false
gw8ih,4962,true
0ujuz,148,false
uqf3g,672,false
atups,9080,false
ys4el,8095,false
qcl7a,3250,false
lq17c,96,false
gnwyd,6145,false
maayh,1684,true
6grbc,324,false
fq4hs,4776,true
b5vxn,9243,false
bg7w0,3232,false
0891x,4081,true
95oua,2788,false
2jtmz,3237,false
t9kar,2021,false
6d5ez,6741,false
3rkwa,9162,true
w2mhc,9039,true
i26ly,2208,false
ymx1z,8382,false
836g4,5543,true
gurbe,1684,false
nquks,5570,false
8sh5o,3562,true
gk8k0,8491,true
prn19,5658,false
ypu34,4324,false
y9ztj,8579,true
9a8fg,967,false
latg4,2781,true
bgbws,9133,true
bvzfo,5747,false
hpm3b,4324,false
l3vdg,1640,true
7hb8e,9374,false
kqf3q,2606,true
9z3fc,240,true
3qf52,5429,true
gvf3z,6088,true
ebryq,8780,true
6wv26,4579,true
tub4y,8486,true
60l83,7901,false
0vgtk,3147,false
crrot,2379,true
9rjhn,9531,false
ruyj7,9521,false
rp2gh,5382,true
jbpr1,2699,false
dy4vh,8594,true
5j4s9,4792,true
x5mkw,799,true
ea1bv,5534,true
3v7qo,5441,false
t4mik,7502,false
8ad6x,8821,true
